wavelength (nm),Irradiance (watts/cm^2/nm)
502.49999999999994,1.896
503.49999999999994,1.936
504.49999999999994,1.871
505.49999999999994,1.995
506.49999999999994,1.963
507.49999999999994,1.908
508.49999999999994,1.921
509.49999999999994,1.918
510.49999999999994,1.949
511.49999999999994,1.999
512.5,1.869
513.5,1.863
514.5,1.876
515.5,1.902
516.5,1.671
517.5,1.728
518.5,1.656
519.5,1.83
520.5,1.833
521.5,1.908
522.5,1.825
523.5,1.896
524.5,1.96
525.5,1.932
526.5,1.676
527.5,1.83
528.5,1.899
529.5,1.92
530.5,1.954
531.5,1.965
532.5,1.773
533.5,1.925
534.5,1.86
535.5,1.992
536.5,1.873
537.5,1.884
538.5,1.906
539.5,1.834
540.5,1.772
541.5,1.883
542.5,1.827
543.5,1.881
544.5,1.881
545.5,1.903
546.5,1.881
547.5,1.835
548.5,1.865
549.5,1.897
550.5,1.864
551.5,1.873
552.5,1.848
553.5,1.884
554.5,1.9
555.5,1.899
556.5,1.823
557.5,1.848
558.5,1.789
559.5,1.81
560.5,1.845
561.5,1.826
562.5,1.852
563.5,1.863
564.5,1.856
565.5,1.8
566.5,1.831
567.5,1.889
568.5,1.812
569.5,1.862
570.5,1.772
571.5,1.825
572.5,1.894
573.5,1.878
574.5,1.869
575.5,1.832
576.5,1.848
577.5,1.859
578.5,1.786
579.5,1.83
580.5,1.84
581.5,1.855
582.5,1.875
583.5,1.859
584.5,1.862
585.5,1.786
586.5,1.832
587.5,1.85
588.5,1.752
589.5,1.614
590.5,1.815
591.5,1.789
592.5,1.81
593.5,1.798
594.5,1.776
595.5,1.785
596.5,1.807
597.5,1.783
598.5,1.76
599.5,1.777
600.5,1.748
601.5,1.753
602.5,1.721
603.5,1.789
604.5,1.779
605.5,1.766
606.5,1.762
607.5,1.76
608.5,1.745
609.5,1.746
610.5,1.705
611.5,1.748
612.5,1.707
613.5,1.685
614.5,1.715
615.5,1.715
616.5,1.611
617.5,1.709
618.5,1.726
619.5,1.709
620.5,1.736
621.5,1.692
622.5,1.715
623.5,1.668
624.5,1.658
625.5,1.634
626.5,1.699
627.5,1.699
628.5,1.699
629.5,1.679
631.0,1.641
633.0,1.653
635.0,1.658
637.0,1.656
639.0,1.653
641.0,1.616
643.0,1.623
645.0,1.629
647.0,1.605
649.0,1.56
651.0,1.608
653.0,1.601
655.0,1.534
657.0,1.386
659.0,1.551
661.0,1.573
663.0,1.557
665.0,1.562
667.0,1.537
669.0,1.548
671.0,1.518
673.0,1.523
675.0,1.512
677.0,1.51
679.0,1.5
681.0,1.494
683.0,1.481
685.0,1.457
687.0,1.469
689.0,1.463
691.0,1.45
693.0,1.45
695.0,1.438
697.0,1.418
699.0,1.427
701.0,1.388
703.0,1.39
705.0,1.417
707.0,1.402
709.0,1.386
711.0,1.387
713.0,1.375
715.0,1.368
717.0,1.355
719.0,1.329
721.0,1.332
723.0,1.349
725.0,1.351
727.0,1.347
729.0,1.32
731.0,1.327
733.0,1.319
735.0,1.31
737.0,1.308
739.0,1.279
741.0,1.259
743.0,1.287
745.0,1.28
747.0,1.284
749.0,1.271
751.0,1.263
753.0,1.26
755.0,1.256
757.0,1.249
759.0,1.241
761.0,1.238
763.0,1.242
765.0,1.222
767.0,1.186
769.0,1.204
771.0,1.205
773.0,1.209
775.0,1.189
777.0,1.197
779.0,1.188
781.0,1.188
783.0,1.177
785.0,1.181
787.0,1.178
789.0,1.175
791.0,1.159
793.0,1.144
795.0,1.135
797.0,1.153
799.0,1.136
801.0,1.143
803.0,1.13
805.0,1.116
807.0,1.121
809.0,1.096
811.0,1.115
813.0,1.116
